id	name	type	description	imagepath	attack	health	mana	attackup	healthup
1	Creeper	OVERWORLD	A creeper is a common hostile mob that silently approaches players and explodes.	card/image/character/Creeper.png	10	2	4	1	1
2	Sheep	OVERWORLD	Sheep are common passive mobs that supply wool and mutton and are found in many of the grassy biomes.	card/image/character/Sheep.png	1	1	1	0	0
3	Zombie	OVERWORLD	Zombies are common undead hostile mobs that deal melee damage and attack in groups.	card/image/character/Zombie.png	3	3	2	2	2
4	Skeleton	OVERWORLD	A skeleton is a common undead hostile mob equipped with a bow.	card/image/character/Skeleton.png	4	4	3	3	1
5	Enderman	END	An enderman is a neutral mob found in all four dimensions. Endermen can teleport and pick up blocks.	card/image/character/Enderman.png	8	6	5	4	3
6	Villager	OVERWORLD	Villagers are passive mobs that inhabit villages, work at their professions, breed, and interact with each other.	card/image/character/Villager.png	2	4	2	1	2
7	Wither Skeleton	NETHER	Wither skeletons are tall variants of skeletons equipped with stone swords and found in nether fortresses.	card/image/character/Wither Skeleton.png	8	10	6	3	4
8	Magma Cube	NETHER	A magma cube is a hostile mob found in the Nether. A magma cube behaves similarly to a slime, but has higher jumps and more powerful hits.	card/image/character/Magma Cube.png	3	3	3	5	5
9	Slime	OVERWORLD	Slimes are bouncy, cube-shaped hostile mobs that spawn deep underground in particular chunks, or at night in swamp biomes.	card/image/character/Slime.png	2	4	3	5	5
10	Shulker	END	Shulkers are box-shaped hostile mobs found in end cities.	card/image/character/Shulker.png	4	6	3	1	2
11	Endermite	END	An endermite is the smallest hostile mob. An endermite emits purple 'portal' particles.	card/image/character/Endermite.png	2	2	2	2	2
12	Ender Dragon	END	The ender dragon is a gigantic flying hostile boss mob found when first entering the End.	card/image/character/Ender Dragon.png	10	20	9	4	4
13	Piglin Brute	NETHER	A piglin brute is a hostile and stronger variant of piglins that appears in all types of bastion remnants.	card/image/character/Piglin Brute.png	8	5	4	3	2
14	Wither	NETHER	The wither is a player-constructed undead hostile boss mob that floats and shoots explosive skulls at players and mobs.	card/image/character/Wither.png	8	10	6	4	5
15	Warden	OVERWORLD	The warden is a hostile mob summoned by sculk shriekers. They are completely blind, and thus rely on vibrations and their sense of smell to identify players and other mobs.	card/image/character/Warden.png	9	15	8	6	8
16	Ghast	NETHER	A ghast is a large white floating ghost-like hostile mob in the Nether that shoots explosive fireballs at the player. 	card/image/character/Ghast.png	7	3	4	4	4
17	Drowned	OVERWORLD	Drowned are common underwater zombie variants that spawn in oceans and rivers, or when zombies drown.	card/image/character/Drowned.png	4	5	4	4	5
18	Obsidian	OVERWORLD	An obsidian block used to create Nether portals.	card/image/character/Obsidian.png	1	25	8	0	5
19	Sulk Raiden	END	An overpowered Electro Archon who sulks because Sara told her no sweets before dinner.	card/image/character/sulkraiden.png	5	1	2	2	1
20	Itaidakimas Raiden	END	An overpowered Electro Archon who Itaidakimas.	card/image/character/prayraiden.png	5	1	2	2	1
21	Pig Raiden	END	An overpowered Electro Archon with her pig pet.	card/image/character/pigraiden.png	8	3	3	2	1
22	Raiden n Gang	END	An overpowered Electro Archon with her sly fox Yae and her loyal tengu Sara.	card/image/character/likeabossraiden.png	30	1	10	10	1
23	Eh Raiden	END	An overpowered Electro Archon who Eh....	card/image/character/ehraiden.png	5	1	2	2	1
24	Dog Raiden	END	An overpowered Electro Archon who rides.... why tf you rode a dog.	card/image/character/dogriderraiden.png	10	1	3	4	1
25	Cry Raiden	END	An overpowered Electro Archon who Cries and call Sara...helppp.	card/image/character/cryraiden.png	3	1	1	1	1
26	Cry Hard Raiden	END	An overpowered Electro Archon who Cries and call Sara...helppp.	card/image/character/cryhardraiden.png	3	1	1	1	1
27	Cry Hard Hard Raiden	END	An overpowered Electro Archon who Cries and call Sara...helppp.	card/image/character/cryinghardraiden.png	3	1	1	1	1
28	Confused Raiden	END	An overpowered Electro Archon who cant count and call Sara...helppp.	card/image/character/confusedraiden.png	5	1	2	2	1
29	Afraid Raiden	END	An overpowered Electro Archon who is afraid of being alone without Sara.	card/image/character/afraidraiden2.png	3	1	1	1	1
30	Excalibur Raiden	END	An overpowered Electro Archon who can split an island into two.	card/image/character/excaliburraiden.png	50	1	10	10	1
31	Mad Raiden	END	An overpowered Electro Archon who is mad because someone stole her dango.	card/image/character/madraiden2.png	40	1	9	10	1
32	Robot Raiden	END	An overpowered Electro Archon who can transform into a robot.	card/image/character/robotraiden.png	30	1	8	10	1
33	A yaka	END	An ordinary girl from the Kamisato Bloodline who loves Aether.	card/image/character/A_yaka.png	2	2	1	1	1
34	yaka S	END	An ordinary girl from the Kamisato Bloodline who loves Aether x 9.	card/image/character/yaka_S.png	18	18	10	1	1
35	Manusia Ganteng	END	Manusa Ganteng ga perlu penjelasan lebih lanjut.	card/image/character/manusiaganteng.png	100	100	11	1	1
